Order ID,Order Date,Customer ID,Customer Name,Region,Segment,Category,Sub-Category,Product Name,Quantity,Sales,Discount,Profit,Repeat Customer,Last Purchase Date
3f52c4f8-6686-4d81-a6bd-e9e8377baad4,2024-09-18,1563fbad-bc9f-44f5-89d0-e12c408aa22f,Tammy Gilmore,North,Corporate,Furniture,Bookcases,Economic Tell,3,927.08,0.11,218.78,Yes,2024-12-27
710f4949-93fe-4260-bb15-ebdb128a1c15,2022-08-31,f166a728-9176-44ac-af2d-6f508e8034ca,Gregory Wolfe,North,Corporate,Office Supplies,Labels,House Opportunity,3,818.74,0.27,74.1,No,2024-04-04
af778b38-cb71-47ea-bf01-ec8bba581ffa,2025-04-17,cba010ca-018d-4498-87be-6d290e029208,Mr. Steven Taylor,North,Home Office,Furniture,Tables,Me Process,1,1144.87,0.16,85.71,Yes,2025-05-21
af13ac8b-181d-46d3-91bb-6611a2c61be7,2024-03-04,82df52a3-f9f3-43b0-9044-67c58f10399c,Grant Contreras,South,Corporate,Furniture,Tables,Along Discover,8,758.41,0.24,131.8,Yes,2025-03-25
8d3e2c77-1338-40c7-aa85-f8cff7140df3,2025-01-05,b9eec2c4-5ef4-442a-b7ec-bab5ba24a846,Claire Greene,South,Home Office,Furniture,Furnishings,Forget Community,8,1085.87,0.13,277.83,No,2023-08-19
7e0d7dfe-8b92-4539-ab8b-8ff25636432f,2025-07-31,7ab937e4-5824-4d21-bc49-db9675fbae06,Amanda Jones,East,Consumer,Technology,Accessories,Strong Model,10,1468.48,0.27,294.61,No,2023-07-21
dcf0acf5-1d0a-4a27-92fe-c18588804929,2023-01-18,e9a40931-aaff-4838-8b62-546a705412a2,Andrew Watson,East,Consumer,Furniture,Furnishings,Box Pm,1,414.93,0.21,81.36,No,2024-02-26
a14daf98-28bf-4fc7-8e5b-b7260ef866c4,2024-03-21,d7b8a6a1-178e-44f6-81b8-76a1ecebe6ee,Shari Solis,West,Corporate,Technology,Phones,Create White,1,251.17,0.14,25.96,No,2023-11-12
9e948695-d64c-42ca-a7cc-a1a5d4c401cb,2025-07-24,ba778a81-6c16-4ffc-8ba6-e0d92a4e03c6,Christopher Rios,North,Home Office,Office Supplies,Binders,Up Short,10,1861.86,0.29,99.84,No,2024-03-20
e2ac78a0-7cf1-4d0c-bfeb-ec08c797e1e5,2025-01-05,2094e2d2-2586-48fb-b2b1-ab3de2e7fded,Lisa Stanton,East,Consumer,Technology,Machines,Civil Chance,4,1103.21,0.05,62.01,No,2024-09-29
424c653f-65d6-4d52-b461-620a85f211c9,2025-06-18,6b6ca1eb-fe65-49de-908b-0318d7dd91f6,Andrea Becker,West,Corporate,Technology,Machines,Before Sea,9,863.69,0.0,75.8,No,2023-11-07
bb07ff97-6d28-48be-8952-82862635dce0,2025-01-11,23bd3122-0fa9-49ac-bde1-dbcbb7a50406,Christopher Jackson,West,Consumer,Technology,Machines,American Land,3,488.95,0.27,74.62,Yes,2024-08-21
